nom,dirigeant,adresse,code_postal,commune,departement,region,naf,siret,site_web,email,telephone,source
PAULO JORGE FERNANDES SERRANO,PAULO FERNANDES SERRANO,36 ALLEE ROBILLARD 93320 LES PAVILLONS-SOUS-BOIS,93320,LES PAVILLONS-SOUS-BOIS,93,Île-de-France,43.91A,53109647700017,,,0964770001,sirene
D.C.M DE MIRANDA CHARPENTE MODERNE,ALFREDO CARDOSO MIRANDA,5 Q RUE DE LA BOURGOGNE 95430 AUVERS-SUR-OISE,95430,AUVERS-SUR-OISE,95,Île-de-France,43.91A,53130471500026,,,0819815419,sirene
WEISROCK CONSTRUCTION BOIS (WCB),DIDIER BONNEAU (BONNEAU),ZAC DU CHENET 2 RUE DES ACACIAS 91490 MILLY-LA-FORET,91490,MILLY-LA-FORET,91,Île-de-France,43.91A,53155996100036,,,,sirene
AZARIA BATIMENT,GEORGES SEMINOR (SEMINOR),3 AVENUE DES REGALLES 77176 SAVIGNY-LE-TEMPLE,77176,SAVIGNY-LE-TEMPLE,77,Île-de-France,43.91A,52903234400010,,,0448326497,sirene
DUMITRU SANDU,DUMITRU SANDU,3 AVENUE DE LA REPUBLIQUE 94400 VITRY-SUR-SEINE,94400,VITRY-SUR-SEINE,94,Île-de-France,43.91A,52951827600017,,,0252951827,sirene
LE CHARPENTIER JACQUEMIN (LE CHARPENTIER JACQUEMIN),LOIC JACQUEMIN (JACQUEMIN),3 RUE JULES MICHELET 93800 EPINAY-SUR-SEINE,93800,EPINAY-SUR-SEINE,93,Île-de-France,43.91A,52969718700035,,,,sirene
SOCIETE DE CONSTRUCTION DE MICRO ARCHITECTURES REGIONALES (SOCOMARE),ANTONY WANNEPAIN,44 AVENUE DE LA DIVISION LECLERC 92320 CHATILLON,92320,CHATILLON,92,Île-de-France,43.91A,52128306900016,,,0132754157,sirene
BAT PROJET,ALCIDIO TEIXEIRA PINTO (TEIXEIRA PINTO),85 HAM DES GAUTHIERS 77570 CHATEAU-LANDON,77570,CHATEAU-LANDON,77,Île-de-France,43.91A,52169903300010,,,,sirene
NELSON FERNANDES,NELSON FERNANDES (FERNANDES),5 ALLEE DES ROCHES 77140 NEMOURS,77140,NEMOURS,77,Île-de-France,43.91A,52173483000024,,,0257265317,sirene
MARVIN ERNATUS,MARVIN ERNATUS,15 RUE AMELIN 93440 DUGNY,93440,DUGNY,93,Île-de-France,43.91A,53455556000018,,,0169804100,sirene
